Node,Depth,Head,Moisture,K,C,Flux,Sink,Kappa,v/KsTop,Temp
1,0.0,-13.964,0.3947,3.599,0.003226,-0.3407,0.0,-1.0,-0.0136,20.0
2,-10.0,-4.259,0.4234,10.66,0.002312,-0.1052,0.0,-1.0,-0.00421,20.0
3,-20.0,5.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
4,-30.0,15.741,0.43,24.96,0.0,1.488e-06,0.0,-1.0,5.96e-08,20.0
5,-40.0,25.741,0.43,24.96,0.0,1.488e-06,0.0,-1.0,5.96e-08,20.0
6,-50.0,35.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
7,-60.0,45.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
8,-70.0,55.741,0.43,24.96,0.0,4.463e-06,0.0,-1.0,1.79e-07,20.0
9,-80.0,65.741,0.43,24.96,0.0,4.463e-06,0.0,-1.0,1.79e-07,20.0
10,-90.0,75.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
11,-100.0,85.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
12,-110.0,95.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
13,-120.0,105.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
14,-130.0,115.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
15,-140.0,125.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
16,-150.0,135.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
17,-160.0,145.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
18,-170.0,155.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
19,-180.0,165.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
20,-190.0,175.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
21,-200.0,185.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
22,-210.0,195.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
23,-220.0,205.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
24,-230.0,215.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
25,-240.0,225.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
26,-250.0,235.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
27,-260.0,245.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
28,-270.0,255.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
29,-280.0,265.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
30,-290.0,275.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
31,-300.0,285.741,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
end,,,,,,,,,,
