Time_d,h_z80cm,h_z150cm,h_z220cm
0.0,-70.0,0.0,70.0
1.0,-70.0,0.0,70.0
2.0,-70.0,0.0,70.0
3.0,-70.0,0.0,70.0
4.0,-70.0,0.0,70.0
5.0,-70.0,0.0,70.0
6.0,-70.0,-0.0,70.0
7.0,-70.0,0.0,70.0
8.0,-70.0,0.0,70.0
9.0,-70.0,0.0,70.0
10.0,-70.0,0.0,70.0
11.0,-70.0,0.0,70.0
12.0,-70.0,0.0,70.0
13.0,-69.999,0.0,70.0
14.0,-69.994,0.0,70.0
15.0,-69.981,0.0,70.0
16.0,-69.952,0.001,70.001
17.0,-69.897,0.003,70.003
18.0,-69.805,0.007,70.007
19.0,-69.664,0.014,70.014
20.0,-69.465,0.026,70.026
21.0,-69.197,0.046,70.046
22.0,-68.847,0.076,70.076
23.0,-68.405,0.12,70.12
24.0,-67.87,0.181,70.181
25.0,-67.271,0.262,70.262
26.0,-66.583,0.369,70.369
27.0,-65.81,0.506,70.506
28.0,-64.978,0.678,70.678
29.0,-64.091,0.892,70.892
30.0,-63.153,1.149,71.149
31.0,-62.186,1.449,71.449
32.0,-61.211,1.793,71.793
33.0,-60.248,2.182,72.182
34.0,-59.381,2.62,72.62
35.0,-58.525,3.12,73.12
36.0,-57.684,3.667,73.667
37.0,-56.869,4.265,74.265
38.0,-56.086,4.917,74.917
39.0,-55.327,5.614,75.614
40.0,-54.58,6.352,76.352
41.0,-53.846,7.129,77.129
42.0,-53.126,7.953,77.953
43.0,-52.461,8.828,78.828
44.0,-51.805,9.764,79.764
45.0,-51.139,10.775,80.775
46.0,-50.487,11.776,81.776
47.0,-49.882,12.774,82.774
48.0,-49.367,13.778,83.778
49.0,-48.96,14.766,84.766
50.0,-48.65,15.714,85.714
51.0,-48.413,16.6,86.6
52.0,-48.231,17.417,87.417
53.0,-48.085,18.161,88.161
54.0,-47.961,18.84,88.84
55.0,-47.846,19.45,89.45
56.0,-47.738,19.997,89.997
57.0,-47.642,20.475,90.475
58.0,-47.558,20.879,90.879
59.0,-47.491,21.218,91.218
60.0,-47.442,21.498,91.498
61.0,-47.408,21.728,91.728
62.0,-47.388,21.916,91.916
63.0,-47.383,22.067,92.067
64.0,-47.395,22.185,92.185
65.0,-47.425,22.273,92.273
66.0,-47.469,22.334,92.334
67.0,-47.529,22.371,92.371
68.0,-47.603,22.386,92.386
69.0,-47.686,22.381,92.381
70.0,-47.78,22.358,92.358
71.0,-47.883,22.318,92.318
72.0,-47.995,22.264,92.264
73.0,-48.114,22.197,92.197
74.0,-48.24,22.119,92.119
75.0,-48.375,22.03,92.03
