time,h,theta,Temp
0.01,-500.12,0.1251,20.0
0.02,-500.2,0.1251,20.0
0.033,-500.27,0.125,20.0
0.0499,-500.35,0.125,20.0
0.0719,-500.44,0.125,20.0
0.1004,-500.54,0.125,20.0
0.1376,-500.66,0.125,20.0
0.1858,-500.79,0.125,20.0
0.2486,-500.95,0.125,20.0
0.3321,-501.14,0.125,20.0
0.4434,-501.37,0.1249,20.0
0.5825,-501.57,0.1249,20.0
0.7913,-501.47,0.1249,20.0
1.0,-500.67,0.125,20.0
1.01,-500.63,0.125,20.0
1.023,-500.58,0.125,20.0
1.0399,-500.5,0.125,20.0
1.0619,-500.39,0.125,20.0
1.0904,-500.24,0.1251,20.0
1.1276,-500.01,0.1251,20.0
1.1758,-499.66,0.1251,20.0
1.2386,-499.12,0.1252,20.0
1.3232,-498.2,0.1253,20.0
1.436,-496.65,0.1254,20.0
1.577,-494.28,0.1257,20.0
1.7885,-490.09,0.1262,20.0
2.0,-485.72,0.1267,20.0
2.25,-480.85,0.1274,20.0
2.625,-474.89,0.1283,20.0
3.0,-470.33,0.129,20.0
3.3333,-467.41,0.1295,20.0
4.0,-464.79,0.1299,20.0
4.5,-463.8,0.13,20.0
5.0,-463.9,0.13,20.0
6.0,-466.5,0.1296,20.0
7.0,-470.63,0.129,20.0
8.0,-475.89,0.1282,20.0
9.0,-481.93,0.1273,20.0
10.0,-489.32,0.1263,20.0
11.0,-497.92,0.1253,20.0
12.0,-507.44,0.1243,20.0
13.0,-518.16,0.1231,20.0
14.0,-527.32,0.1221,20.0
15.0,-536.16,0.1211,20.0
16.0,-544.25,0.1202,20.0
17.0,-552.12,0.1194,20.0
18.0,-560.19,0.1185,20.0
18.01,-560.27,0.1185,20.0
18.02,-560.35,0.1185,20.0
18.03,-560.43,0.1185,20.0
18.043,-560.54,0.1184,20.0
18.0599,-560.68,0.1184,20.0
18.0819,-560.86,0.1184,20.0
18.1104,-561.09,0.1184,20.0
18.1476,-561.4,0.1184,20.0
18.1958,-561.8,0.1183,20.0
18.2586,-562.32,0.1183,20.0
18.341,-563.0,0.1182,20.0
18.4233,-563.69,0.1181,20.0
18.5387,-564.66,0.118,20.0
18.654,-565.62,0.1179,20.0
18.7693,-566.59,0.1178,20.0
18.8847,-567.56,0.1177,20.0
19.0,-568.52,0.1176,20.0
19.1667,-569.88,0.1174,20.0
