Time,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,Volume
1.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,-140.0,150.0,0.0,107.43
2.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,-140.0,150.0,0.0,107.43
3.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,-140.0,150.0,0.0,107.43
4.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,-140.0,150.0,0.0,107.43
5.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,-140.0,150.0,0.0,107.43
6.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,-140.0,150.0,0.0,107.43
7.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,-140.0,150.0,0.0,107.43
8.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,-140.0,150.0,0.0,107.43
9.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,-140.0,150.0,0.0,107.43
10.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-150.0,-140.0,150.0,0.0,107.43
11.0,-0.17,0.02,-0.17,0.02,0.0,-0.17,0.02,-0.17,0.02,0.0,-108.37,-135.34,150.0,0.0,107.58
12.0,-0.17,0.02,-0.17,0.02,0.0,-0.34,0.04,-0.34,0.04,0.0,-93.099,-122.05,150.0,0.0,107.73
13.0,-0.17,0.02,-0.17,0.02,0.0,-0.51,0.06,-0.51,0.06,0.0,-86.808,-111.07,150.0,0.0,107.88
14.0,-0.17,0.02,-0.17,0.02,0.0,-0.68,0.08,-0.68,0.08,0.0,-82.268,-102.07,150.0,0.0,108.03
15.0,-0.17,0.02,-0.17,0.02,0.0,-0.85,0.1,-0.85,0.1,0.0,-78.434,-95.134,150.0,0.0,108.18
16.0,-0.17,0.02,-0.17,0.02,0.0,-1.02,0.12,-1.02,0.12,0.0,-75.821,-90.459,150.0,0.0,108.33
17.0,-0.17,0.02,-0.17,0.02,0.0,-1.19,0.14,-1.19,0.14,0.0,-74.186,-86.409,150.0,0.0,108.48
18.0,-0.17,0.02,-0.17,0.02,0.0,-1.36,0.16,-1.36,0.16,0.0,-72.713,-83.03,150.01,0.0,108.63
19.0,-0.17,0.02,-0.17,0.02,0.0,-1.53,0.18,-1.53,0.18,0.0,-71.36,-80.307,150.01,0.0,108.78
20.0,-0.17,0.02,-0.17,0.02,0.0,-1.7,0.2,-1.7,0.2,0.0,-70.102,-77.977,150.02,0.0,108.93
21.0,-0.17,0.02,-0.17,0.02,0.0,-1.87,0.22,-1.87,0.22,0.0,-68.929,-75.936,150.04,0.0,109.08
22.0,-0.17,0.02,-0.17,0.02,0.0,-2.04,0.24,-2.04,0.24,0.0,-68.066,-74.394,150.06,0.0,109.23
23.0,-0.17,0.02,-0.17,0.02,0.0,-2.21,0.26,-2.21,0.26,0.0,-67.384,-73.014,150.09,0.0,109.38
24.0,-0.17,0.02,-0.17,0.02,0.0,-2.38,0.28,-2.38,0.28,0.0,-66.754,-71.749,150.14,0.0,109.53
25.0,-0.17,0.02,-0.17,0.02,0.0,-2.55,0.3,-2.55,0.3,0.0,-66.165,-72.757,150.2,0.0,109.68
26.0,-0.17,0.02,-0.17,0.02,0.0,-2.72,0.32,-2.72,0.32,0.0,-65.644,-71.584,150.28,0.0,109.83
27.0,-0.17,0.02,-0.17,0.02,0.0,-2.89,0.34,-2.89,0.34,0.0,-65.159,-70.5,150.39,0.0,109.98
28.0,-0.17,0.02,-0.17,0.02,0.0,-3.06,0.36,-3.06,0.36,0.0,-64.706,-69.573,150.52,0.0,110.13
29.0,-0.17,0.02,-0.17,0.02,0.0,-3.23,0.38,-3.23,0.38,0.0,-64.29,-68.759,150.68,0.0,110.28
30.0,-0.17,0.02,-0.17,0.02,0.0,-3.4,0.4,-3.4,0.4,0.0,-63.909,-68.037,150.88,0.0,110.43
31.0,-0.17,0.02,-0.17,0.02,0.0,-3.57,0.42,-3.57,0.42,0.0,-63.563,-67.396,151.11,0.0,110.58
32.0,-0.17,0.02,-0.17,0.02,0.0,-3.74,0.44,-3.74,0.44,0.0,-63.248,-66.823,151.38,0.0,110.73
33.0,-0.17,0.02,-0.17,0.02,0.0,-3.91,0.46,-3.91,0.46,0.0,-62.96,-66.307,151.68,0.0,110.88
34.0,-0.17,0.02,-0.17,0.02,0.0,-4.08,0.48,-4.08,0.48,0.0,-62.695,-65.838,152.02,0.0,111.03
35.0,-0.17,0.02,-0.17,0.02,0.0,-4.25,0.5,-4.25,0.5,0.0,-62.452,-65.408,152.39,0.0,111.18
36.0,-0.17,0.02,-0.17,0.02,0.0,-4.42,0.52,-4.42,0.52,0.0,-62.224,-65.612,152.81,0.0,111.33
37.0,-0.17,0.02,-0.17,0.02,0.0,-4.59,0.54,-4.59,0.54,0.0,-62.004,-65.175,153.27,0.0,111.48
38.0,-0.17,0.02,-0.17,0.02,0.0,-4.76,0.56,-4.76,0.56,0.0,-61.794,-64.765,153.77,0.0,111.63
39.0,-0.17,0.02,-0.17,0.02,0.0,-4.93,0.58,-4.93,0.58,0.0,-61.593,-64.379,154.32,0.0,111.78
40.0,-0.17,0.02,-0.17,0.02,0.0,-5.1,0.6,-5.1,0.6,0.0,-61.402,-64.018,154.9,0.0,111.93
41.0,-0.17,0.02,-0.17,0.02,0.0,-5.27,0.62,-5.27,0.62,0.0,-61.222,-63.678,155.52,0.0,112.08
