Time,rTop,rRoot,vTop,vRoot,vBot,sum(rTop),sum(rRoot),sum(vTop),sum(vRoot),sum(vBot),hTop,hRoot,hBot,RunOff,Volume
42.0,-0.17,0.02,-0.17,0.02,0.0,-5.44,0.64,-5.44,0.64,0.0,-61.051,-63.359,156.17,0.0,112.23
43.0,-0.17,0.02,-0.17,0.02,0.0,-5.61,0.66,-5.61,0.66,0.0,-60.89,-63.059,156.85,0.0,112.38
44.0,-0.17,0.02,-0.17,0.02,0.0,-5.78,0.68,-5.78,0.68,0.0,-60.737,-62.778,157.56,0.0,112.53
45.0,-0.17,0.02,-0.17,0.02,0.0,-5.95,0.7,-5.95,0.7,0.0,-60.594,-62.515,158.31,0.0,112.68
46.0,0.1,0.03,0.1,0.03,0.0,-5.85,0.73,-5.85,0.73,0.0,-79.44,-65.256,159.1,0.0,112.55
47.0,0.1,0.03,0.1,0.03,0.0,-5.75,0.76,-5.75,0.76,0.0,-92.512,-68.788,159.94,0.0,112.42
48.0,0.1,0.03,0.1,0.03,0.0,-5.65,0.79,-5.65,0.79,0.0,-104.89,-72.786,160.82,0.0,112.29
49.0,0.1,0.03,0.1,0.03,0.0,-5.55,0.82,-5.55,0.82,0.0,-116.16,-76.744,161.66,0.0,112.16
50.0,0.1,0.03,0.1,0.03,0.0,-5.45,0.85,-5.45,0.85,0.0,-128.99,-80.57,162.46,0.0,112.03
51.0,0.1,0.03,0.1,0.03,0.0,-5.35,0.88,-5.35,0.88,0.0,-142.04,-84.696,163.22,0.0,111.9
52.0,0.1,0.03,0.1,0.03,0.0,-5.25,0.91,-5.25,0.91,0.0,-156.03,-88.595,163.93,0.0,111.77
53.0,0.1,0.03,0.1,0.03,0.0,-5.15,0.94,-5.15,0.94,0.0,-172.53,-92.311,164.57,0.0,111.64
54.0,0.1,0.03,0.1,0.03,0.0,-5.05,0.97,-5.05,0.97,0.0,-189.98,-96.221,165.14,0.0,111.51
55.0,0.1,0.03,0.1,0.03,0.0,-4.95,1.0,-4.95,1.0,0.0,-212.11,-100.43,165.65,0.0,111.38
56.0,0.1,0.03,0.1,0.03,0.0,-4.85,1.03,-4.85,1.03,0.0,-234.43,-104.44,166.1,0.0,111.25
57.0,0.1,0.03,0.1,0.03,0.0,-4.75,1.06,-4.75,1.06,0.0,-262.78,-108.3,166.48,0.0,111.12
58.0,0.1,0.03,0.1,0.03,0.0,-4.65,1.09,-4.65,1.09,0.0,-294.93,-112.08,166.8,0.0,110.99
59.0,0.1,0.03,0.1,0.03,0.0,-4.55,1.12,-4.55,1.12,0.0,-334.98,-108.57,167.08,0.0,110.86
60.0,0.1,0.03,0.1,0.03,0.0,-4.45,1.15,-4.45,1.15,0.0,-377.26,-112.45,167.31,0.0,110.73
61.0,0.1,0.03,0.1,0.03,0.0,-4.35,1.18,-4.35,1.18,0.0,-433.11,-116.33,167.49,0.0,110.6
62.0,0.1,0.03,0.1,0.03,0.0,-4.25,1.21,-4.25,1.21,0.0,-498.16,-120.02,167.64,0.0,110.47
63.0,0.1,0.03,0.1,0.03,0.0,-4.15,1.24,-4.15,1.24,0.0,-581.93,-124.21,167.75,0.0,110.34
64.0,0.1,0.03,0.1,0.03,0.0,-4.05,1.27,-4.05,1.27,0.0,-680.74,-128.59,167.83,0.0,110.21
65.0,0.1,0.03,0.1,0.03,0.0,-3.95,1.3,-3.95,1.3,0.0,-795.66,-132.95,167.88,0.0,110.08
66.0,0.1,0.03,0.1,0.03,0.0,-3.85,1.33,-3.85,1.33,0.0,-956.43,-137.27,167.91,0.0,109.95
67.0,0.1,0.03,0.1,0.03,0.0,-3.75,1.36,-3.75,1.36,0.0,-1164.6,-142.64,167.92,0.0,109.82
68.0,0.1,0.03,0.1,0.03,0.0,-3.65,1.39,-3.65,1.39,0.0,-1422.6,-148.45,167.9,0.0,109.69
69.0,0.1,0.03,0.1,0.03,0.0,-3.55,1.42,-3.55,1.42,0.0,-1775.1,-154.29,167.87,0.0,109.56
70.0,0.1,0.03,0.1,0.03,0.0,-3.45,1.45,-3.45,1.45,0.0,-2263.3,-160.87,167.82,0.0,109.43
71.0,0.1,0.03,0.1,0.03,0.0,-3.35,1.48,-3.35,1.48,0.0,-2873.6,-168.36,167.76,0.0,109.3
72.0,0.1,0.03,0.1,0.03,0.0,-3.25,1.51,-3.25,1.51,0.0,-3751.6,-175.83,167.68,0.0,109.17
73.0,0.1,0.03,0.1,0.03,0.0,-3.15,1.54,-3.15,1.54,0.0,-5020.4,-184.76,167.59,0.0,109.04
74.0,0.1,0.03,0.1,0.03,0.0,-3.05,1.57,-3.05,1.57,0.0,-6825.0,-195.03,167.49,0.0,108.91
75.0,0.1,0.03,0.1,0.03,0.0,-2.95,1.6,-2.95,1.6,0.0,-9791.3,-205.85,167.38,0.0,108.78
,,,,,,,,,,,,,,,
