Node,Depth,Head,Moisture,K,C,Flux,Sink,Kappa,v/KsTop,Temp
1,0.0,-37.858,0.3271,0.5294,0.00228,-0.3407,0.0,-1.0,-0.0136,20.0
2,-10.0,-32.724,0.3397,0.7755,0.002525,-0.2788,0.001188,-1.0,-0.0112,20.0
3,-20.0,-24.97,0.3606,1.363,0.002902,-0.1984,0.0009558,-1.0,-0.00795,20.0
4,-30.0,-15.68,0.3892,3.05,0.003221,-0.1137,0.0002628,-1.0,-0.00456,20.0
5,-40.0,-5.8,0.4196,8.744,0.002635,-0.03543,0.0,-1.0,-0.00142,20.0
6,-50.0,4.2,0.43,24.96,0.0,-1.004e-06,0.0,-1.0,-4.02e-08,20.0
7,-60.0,14.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
8,-70.0,24.2,0.43,24.96,0.0,2.975e-06,0.0,-1.0,1.19e-07,20.0
9,-80.0,34.2,0.43,24.96,0.0,2.975e-06,0.0,-1.0,1.19e-07,20.0
10,-90.0,44.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
11,-100.0,54.2,0.43,24.96,0.0,4.463e-06,0.0,-1.0,1.79e-07,20.0
12,-110.0,64.2,0.43,24.96,0.0,4.463e-06,0.0,-1.0,1.79e-07,20.0
13,-120.0,74.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
14,-130.0,84.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
15,-140.0,94.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
16,-150.0,104.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
17,-160.0,114.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
18,-170.0,124.2,0.43,24.96,0.0,8.926e-06,0.0,-1.0,3.58e-07,20.0
19,-180.0,134.2,0.43,24.96,0.0,8.926e-06,0.0,-1.0,3.58e-07,20.0
20,-190.0,144.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
21,-200.0,154.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
22,-210.0,164.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
23,-220.0,174.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
24,-230.0,184.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
25,-240.0,194.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
26,-250.0,204.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
27,-260.0,214.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
28,-270.0,224.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
29,-280.0,234.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
30,-290.0,244.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
31,-300.0,254.2,0.43,24.96,0.0,0.0,0.0,-1.0,-0.0,20.0
end,,,,,,,,,,
