Time_d,z_wt_cm,depth_wt_cm
0.0,-150.0,150.0
1.0,-150.0,150.0
2.0,-150.0,150.0
3.0,-150.0,150.0
4.0,-150.0,150.0
5.0,-150.0,150.0
6.0,-150.0,150.0
7.0,-150.0,150.0
8.0,-150.0,150.0
9.0,-150.0,150.0
10.0,-150.0,150.0
11.0,-150.0,150.0
12.0,-150.0,150.0
13.0,-150.0,150.0
14.0,-150.0,150.0
15.0,-150.0,150.0
16.0,-149.999,149.999
17.0,-149.998,149.998
18.0,-149.995,149.995
19.0,-149.989,149.989
20.0,-149.98,149.98
21.0,-149.964,149.964
22.0,-149.941,149.941
23.0,-149.907,149.907
24.0,-149.86,149.86
25.0,-149.797,149.797
26.0,-149.715,149.715
27.0,-149.61,149.61
28.0,-149.479,149.479
29.0,-149.318,149.318
30.0,-149.121,149.121
31.0,-148.889,148.889
32.0,-148.622,148.622
33.0,-148.321,148.321
34.0,-147.983,147.983
35.0,-147.61,147.61
36.0,-147.19,147.19
37.0,-146.727,146.727
38.0,-146.227,146.227
39.0,-145.685,145.685
40.0,-145.102,145.102
41.0,-144.484,144.484
42.0,-143.83,143.83
43.0,-143.149,143.149
44.0,-142.438,142.438
45.0,-141.689,141.689
46.0,-140.898,140.898
47.0,-140.06,140.06
48.0,-139.183,139.183
49.0,-138.34,138.34
50.0,-137.541,137.541
51.0,-136.776,136.776
52.0,-136.075,136.075
53.0,-135.43,135.43
54.0,-134.857,134.857
55.0,-134.346,134.346
56.0,-133.902,133.902
57.0,-133.52,133.52
58.0,-133.196,133.196
59.0,-132.924,132.924
60.0,-132.694,132.694
61.0,-132.50900000000001,132.50900000000001
62.0,-132.364,132.364
63.0,-132.252,132.252
64.0,-132.171,132.171
65.0,-132.119,132.119
66.0,-132.091,132.091
67.0,-132.085,132.085
68.0,-132.099,132.099
69.0,-132.132,132.132
70.0,-132.181,132.181
71.0,-132.245,132.245
72.0,-132.322,132.322
73.0,-132.41,132.41
74.0,-132.51,132.51
75.0,-132.621,132.621
