Time_d,h_bottom_cm
0.0,150.0
1.0,150.0
2.0,150.0
3.0,150.0
4.0,150.0
5.0,150.0
6.0,150.001
7.0,150.003
8.0,150.007
9.0,150.014
10.0,150.026
11.0,150.044
12.0,150.074
13.0,150.118
14.0,150.178
15.0,150.257
16.0,150.358
17.0,150.484
18.0,150.636
19.0,150.821
20.0,151.03
21.0,151.273
22.0,151.548
23.0,151.862
24.0,152.221
25.0,152.639
26.0,153.134
27.0,153.678
28.0,154.275
29.0,154.915
30.0,155.579
31.0,156.256
32.0,156.936
33.0,157.633
34.0,158.368
35.0,159.154
36.0,160.021
37.0,160.967
38.0,161.933
39.0,162.93
40.0,163.936
41.0,164.936
42.0,165.906
43.0,166.837
44.0,167.744
45.0,168.656
46.0,169.601
47.0,170.613
48.0,171.628
49.0,172.654
50.0,173.729
51.0,174.829
52.0,175.945
53.0,177.05
54.0,178.16
55.0,179.273
56.0,180.381
57.0,181.41
58.0,182.365
59.0,183.301
60.0,184.227
61.0,185.179
62.0,186.21
63.0,187.333
64.0,188.541
65.0,189.842
66.0,191.175
67.0,192.361
68.0,193.441
69.0,194.416
70.0,195.317
71.0,196.163
72.0,197.009
73.0,197.927
74.0,198.946
75.0,200.106
76.0,201.38
77.0,202.662
78.0,203.972
79.0,205.239
80.0,206.408
81.0,207.479
82.0,208.505
83.0,209.464
84.0,210.345
85.0,211.143
86.0,211.936
87.0,212.854
88.0,213.948
89.0,215.216
90.0,216.619
91.0,218.247
92.0,219.999
93.0,221.494
94.0,222.544
95.0,223.275
96.0,223.832
97.0,224.317
98.0,224.853
99.0,225.566
100.0,226.56
101.0,228.167
102.0,230.172
103.0,232.094
104.0,233.73
105.0,235.121
106.0,236.195
107.0,236.977
108.0,237.577
109.0,238.092
110.0,238.825
111.0,240.145
112.0,241.354
113.0,242.522
114.0,243.837
115.0,245.326
116.0,246.968
117.0,248.708
118.0,250.506
119.0,252.085
120.0,254.2
