Time_d,wl_z80cm,wl_z150cm,wl_z220cm
0.0,-150.0,-150.0,-150.0
1.0,-150.0,-150.0,-150.0
2.0,-150.0,-150.0,-150.0
3.0,-150.001,-150.0,-150.0
4.0,-150.001,-150.0,-150.0
5.0,-150.003,-150.0,-150.0
6.0,-150.005,-150.0,-150.0
7.0,-150.007,-150.0,-150.0
8.0,-150.00799999999998,-150.001,-150.001
9.0,-150.007,-150.001,-150.001
10.0,-150.003,-150.001,-150.001
11.0,-149.993,-150.001,-150.001
12.0,-149.974,-150.001,-150.001
13.0,-149.94799999999998,-150.0,-150.0
14.0,-149.91500000000002,-149.998,-149.998
15.0,-149.876,-149.996,-149.99599999999998
16.0,-149.833,-149.991,-149.99099999999999
17.0,-149.78300000000002,-149.985,-149.985
18.0,-149.725,-149.977,-149.977
19.0,-149.65800000000002,-149.967,-149.96699999999998
20.0,-149.58100000000002,-149.955,-149.95499999999998
21.0,-149.497,-149.939,-149.939
22.0,-149.41,-149.921,-149.921
23.0,-149.322,-149.899,-149.899
24.0,-149.235,-149.874,-149.874
25.0,-149.148,-149.846,-149.846
26.0,-149.061,-149.815,-149.815
27.0,-148.973,-149.782,-149.78199999999998
28.0,-148.882,-149.746,-149.74599999999998
29.0,-148.784,-149.708,-149.708
30.0,-148.67700000000002,-149.666,-149.666
