Time_d,h_bottom_cm
0.0,150.0
1.0,150.0
2.0,150.0
3.0,150.0
4.0,150.0
5.0,150.001
6.0,150.003
7.0,150.008
8.0,150.019
9.0,150.04
10.0,150.079
11.0,150.143
12.0,150.242
13.0,150.393
14.0,150.612
15.0,150.925
