Time_d,wl_z80cm,wl_z150cm,wl_z220cm
0.0,-150.0,-150.0,-150.0
1.0,-150.0,-150.0,-150.0
2.0,-150.0,-150.0,-150.0
3.0,-149.997,-150.0,-150.0
4.0,-149.98399999999998,-150.0,-150.0
5.0,-149.949,-149.999,-149.999
6.0,-149.864,-149.997,-149.997
7.0,-149.702,-149.992,-149.99200000000002
8.0,-149.425,-149.981,-149.981
9.0,-148.978,-149.96,-149.95999999999998
10.0,-148.305,-149.921,-149.921
11.0,-147.41,-149.857,-149.857
12.0,-146.24599999999998,-149.758,-149.75799999999998
13.0,-144.788,-149.607,-149.607
14.0,-143.064,-149.388,-149.388
15.0,-141.159,-149.075,-149.075
