Time_d,h_bottom_cm
0.0,150.0
1.0,150.0
2.0,150.0
3.0,150.0
4.0,150.0
5.0,150.002
6.0,150.008
7.0,150.024
8.0,150.062
9.0,150.142
10.0,150.293
11.0,150.566
12.0,151.029
13.0,151.741
14.0,152.786
15.0,154.251
16.0,156.193
17.0,158.65
18.0,161.867
19.0,165.296
20.0,169.015
21.0,173.298
22.0,177.444
23.0,182.056
24.0,186.468
25.0,191.152
26.0,195.762
27.0,200.433
28.0,205.182
29.0,209.814
30.0,214.675
31.0,219.29
32.0,224.209
33.0,228.83
34.0,233.807
35.0,238.457
36.0,243.514
37.0,248.266
38.0,253.523
39.0,258.607
40.0,264.424
41.0,270.648
42.0,278.207
43.0,292.395
44.0,300.885
45.0,301.076
46.0,300.046
47.0,300.159
48.0,300.309
49.0,300.555
50.0,300.806
51.0,300.999
52.0,300.005
53.0,300.108
54.0,300.234
55.0,300.429
56.0,300.721
57.0,300.915
58.0,299.966
59.0,300.063
60.0,300.183
61.0,300.351
62.0,300.629
63.0,300.847
64.0,301.043
65.0,300.027
66.0,300.133
67.0,300.28
68.0,300.492
69.0,300.771
70.0,300.969
71.0,299.988
72.0,300.082
73.0,300.205
74.0,300.376
75.0,300.676
76.0,300.877
77.0,301.072
78.0,300.039
79.0,300.149
80.0,300.297
81.0,300.537
82.0,300.802
83.0,300.995
84.0,300.001
85.0,300.102
86.0,300.231
87.0,300.429
88.0,300.721
89.0,300.915
90.0,299.966
