Time_d,h_z80cm,h_z150cm,h_z220cm
0.0,-70.0,0.0,70.0
1.0,-70.0,0.0,70.0
2.0,-70.0,0.0,70.0
3.0,-69.997,0.0,70.0
4.0,-69.984,0.0,70.0
5.0,-69.949,0.001,70.001
6.0,-69.864,0.003,70.003
7.0,-69.702,0.008,70.008
8.0,-69.425,0.019,70.019
9.0,-68.978,0.04,70.04
10.0,-68.305,0.079,70.079
11.0,-67.41,0.143,70.143
12.0,-66.246,0.242,70.242
13.0,-64.788,0.393,70.393
14.0,-63.064,0.612,70.612
15.0,-61.159,0.925,70.925
16.0,-59.287,1.34,71.34
17.0,-57.46,1.866,71.866
18.0,-55.598,2.521,72.521
19.0,-53.775,3.34,73.34
20.0,-52.064,4.318,74.318
21.0,-50.539,5.464,75.464
22.0,-49.234,6.769,76.769
23.0,-48.046,8.231,78.231
24.0,-46.994,9.907,79.907
25.0,-46.003,11.787,81.787
26.0,-45.013,13.677,83.677
27.0,-43.979,15.618,85.618
28.0,-42.893,17.618,87.618
29.0,-41.847,19.759,89.759
30.0,-40.738,22.086,92.086
31.0,-39.501,24.32,94.32
32.0,-38.145,26.546,96.546
33.0,-36.746,28.816,98.816
34.0,-35.233,31.313,101.313
35.0,-33.553,33.703,103.703
36.0,-31.764,36.037,106.037
37.0,-29.933,38.373,108.373
38.0,-27.921,40.914,110.914
39.0,-25.785,43.382,113.382
40.0,-23.628,45.761,115.761
41.0,-21.468,48.114,118.114
42.0,-19.123,50.65,120.65
43.0,-16.711,53.154,123.154
44.0,-14.366,55.548,125.548
45.0,-12.044,57.91,127.91
46.0,-9.564,60.428,130.428
47.0,-7.045,62.955,132.955
48.0,-4.64,65.36,135.36
49.0,-2.27,67.73,137.73
50.0,0.235,70.235,140.235
51.0,2.79,72.79,142.79
52.0,5.217,75.217,145.217
53.0,7.606,77.606,147.606
54.0,10.122,80.122,150.122
55.0,12.722,82.722,152.722
56.0,15.194,85.194,155.194
57.0,17.638,87.638,157.638
58.0,20.24,90.24,160.24
59.0,22.923,92.923,162.923
60.0,25.499,95.499,165.499
