Time_d,z_wt_cm,depth_wt_cm
0.0,-150.0,150.0
1.0,-150.0,150.0
2.0,-150.0,150.0
3.0,-150.0,150.0
4.0,-150.0,150.0
5.0,-149.999,149.999
6.0,-149.997,149.997
7.0,-149.992,149.992
8.0,-149.981,149.981
9.0,-149.96,149.96
10.0,-149.921,149.921
11.0,-149.857,149.857
12.0,-149.758,149.758
13.0,-149.607,149.607
14.0,-149.388,149.388
15.0,-149.075,149.075
16.0,-148.66,148.66
17.0,-148.134,148.134
18.0,-147.479,147.479
19.0,-146.66,146.66
20.0,-145.682,145.682
21.0,-144.536,144.536
22.0,-143.231,143.231
23.0,-141.769,141.769
24.0,-140.093,140.093
25.0,-138.213,138.213
26.0,-136.323,136.323
27.0,-134.382,134.382
28.0,-132.382,132.382
29.0,-130.24099999999999,130.24099999999999
30.0,-127.914,127.914
31.0,-125.68,125.68
32.0,-123.454,123.454
33.0,-121.184,121.184
34.0,-118.687,118.687
35.0,-116.297,116.297
36.0,-113.963,113.963
37.0,-111.627,111.627
38.0,-109.08581716343268,109.08581716343268
39.0,-106.618,106.618
40.0,-104.239,104.239
41.0,-101.886,101.886
42.0,-99.34973989595838,99.34973989595838
43.0,-96.846,96.846
44.0,-94.452,94.452
45.0,-92.09,92.09
46.0,-89.57165732586068,89.57165732586068
47.0,-87.045,87.045
48.0,-84.64,84.64
49.0,-82.27,82.27
50.0,-79.76476476476476,79.76476476476476
51.0,-77.21,77.21
52.0,-74.783,74.783
53.0,-72.394,72.394
54.0,-69.87785342410893,69.87785342410893
55.0,-67.278,67.278
56.0,-64.806,64.806
57.0,-62.362,62.362
58.0,-59.75973570928021,59.75973570928021
59.0,-57.077,57.077
60.0,-54.501,54.501
